,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
8965,8966,4,2,3,5,178,3,1,0,7,4135,0
5936,5937,0,2,6,3,202,4,2,0,3,4496,1
10656,10657,3,2,2,5,277,3,2,1,6,1032,0
3328,3329,2,2,5,5,219,2,2,1,4,4289,0
9880,9881,2,0,6,3,296,4,1,0,4,1650,0
292,293,2,2,4,3,211,4,2,1,40,3106,1
3461,3462,4,2,3,3,144,2,1,1,6,5994,1
4161,4162,1,2,3,3,260,2,1,1,8,5382,0
3387,3388,1,2,5,5,244,3,1,1,9,5695,0
10471,10472,4,2,4,3,233,5,1,1,4,1668,0
2392,2393,2,2,4,1,221,3,1,0,3,2546,1
4365,4366,1,1,5,2,260,6,0,1,10,4087,1
1318,1319,2,2,2,3,159,3,2,1,62,1124,1
7645,7646,4,1,4,2,173,3,2,1,6,4963,0
3229,3230,4,2,4,1,133,2,2,1,8,4277,0
4148,4149,0,2,2,3,141,4,2,1,8,4702,0
5538,5539,3,2,6,2,257,4,1,0,4,1929,1
8722,8723,2,2,3,4,177,3,2,0,1,4965,0
9302,9303,0,1,3,3,237,3,2,1,6,4918,0
5013,5014,1,2,6,5,260,4,2,0,10,1799,0
2751,2752,1,0,5,3,225,7,2,0,45,3162,1
5019,5020,1,2,6,4,291,4,1,0,5,1327,0
7767,7768,1,2,6,4,268,4,2,1,9,1354,1
6657,6658,1,2,3,3,188,2,2,0,2,4336,0
7482,7483,3,2,4,2,263,5,1,0,5,1874,0
10923,10924,1,2,5,5,221,5,1,0,3,1220,0
3540,3541,3,1,4,5,154,4,2,1,7,4938,0
6523,6524,4,2,3,3,261,8,1,1,10,4145,0
8727,8728,1,2,2,3,211,2,2,1,2,4611,0
837,838,1,0,5,2,278,2,1,0,17,2493,1
8581,8582,4,2,4,4,243,5,2,1,10,4356,0
10032,10033,3,2,3,3,224,6,2,1,10,4221,0
4962,4963,3,2,4,5,169,4,1,1,6,4168,1
6518,6519,0,2,4,4,266,3,1,1,10,5221,0
7801,7802,4,1,2,5,160,4,1,0,7,5754,0
4345,4346,4,2,4,3,245,3,1,1,8,4826,0
7933,7934,4,1,4,1,272,2,1,0,8,5328,1
9615,9616,1,2,3,2,198,4,1,0,3,4172,1
9269,9270,4,2,3,2,244,3,0,0,5,5781,1
6113,6114,4,2,4,2,252,2,0,0,4,5233,1
157,158,4,2,3,2,203,2,2,0,39,3845,1
10568,10569,0,2,4,4,233,3,1,0,5,5421,0
4521,4522,1,0,3,3,260,4,1,1,8,5595,1
1441,1442,4,2,3,4,133,3,1,1,17,1187,1
6130,6131,2,2,4,1,263,3,0,1,5,4782,0
9786,9787,3,2,4,4,180,3,1,1,3,5031,0
8786,8787,0,2,5,1,213,2,0,0,10,5607,1
10950,10951,3,1,4,3,228,5,2,1,8,1753,1
4731,4732,1,2,6,3,274,6,2,0,2,4281,0
2947,2948,4,2,2,2,193,3,2,1,64,2867,1
1963,1964,4,2,3,3,181,2,0,1,65,3234,1
2483,2484,4,2,6,3,167,6,1,0,15,1278,1
8203,8204,4,1,4,3,238,2,1,0,1,4051,0
2963,2964,4,2,3,3,200,3,1,1,46,2460,1
5529,5530,1,2,5,3,237,5,2,0,4,1733,1
10865,10866,4,2,3,3,148,4,1,0,2,5557,0
8515,8516,4,2,3,5,193,2,1,0,10,5776,0
9386,9387,0,2,4,4,175,3,2,1,2,4004,0
7971,7972,1,2,4,1,208,2,1,1,6,5266,0
1543,1544,4,2,3,4,212,2,2,0,56,3976,1
5050,5051,2,1,4,3,192,3,1,0,10,4068,0
9090,9091,3,2,6,5,256,4,1,0,2,1163,0
2932,2933,2,2,3,2,155,3,2,0,7,1434,1
2517,2518,1,2,3,5,150,2,1,0,48,1256,1
9922,9923,2,2,7,1,254,4,1,0,5,1865,1
8685,8686,1,2,2,4,102,4,2,0,6,5421,0
603,604,1,2,3,1,162,2,1,0,52,1125,1
2956,2957,2,2,5,5,213,2,0,1,12,2522,1
6791,6792,4,2,4,2,142,2,1,1,6,5326,0
393,394,1,1,5,4,169,2,1,0,20,1765,1
10073,10074,4,2,4,4,264,3,1,1,6,5959,1
2619,2620,1,0,5,1,151,2,2,0,30,1377,1
5155,5156,4,2,4,3,138,2,2,1,9,5297,1
10045,10046,4,2,5,4,240,4,2,1,7,4552,1
6213,6214,1,2,6,5,282,4,1,1,1,1193,1
8974,8975,2,2,5,2,203,2,2,0,2,4712,1
5659,5660,4,2,3,1,153,4,2,0,1,4608,0
7046,7047,0,2,3,4,175,3,1,1,8,4274,1
3520,3521,2,2,4,5,223,3,2,0,9,5279,1
8142,8143,3,2,3,3,230,3,2,0,2,4742,1
5610,5611,3,1,2,2,159,6,1,0,6,4044,0
4716,4717,3,2,3,5,260,2,2,1,1,5970,0
3023,3024,4,0,3,4,155,3,2,1,4,1548,1
7037,7038,4,2,3,1,166,2,1,0,10,4137,0
3527,3528,4,2,4,5,274,3,2,1,4,4521,0
7078,7079,2,2,6,3,247,6,2,1,3,4582,0
401,402,4,1,3,2,217,2,0,1,19,2992,1
6258,6259,3,2,6,1,244,4,1,1,5,1867,0
1631,1632,4,1,5,5,224,8,1,0,49,3282,1
6884,6885,0,2,6,3,139,6,2,0,8,1284,1
7194,7195,3,2,5,1,243,5,1,1,3,1066,1
5848,5849,2,2,4,4,172,3,2,1,7,5098,0
6715,6716,4,0,6,4,221,5,2,1,8,4511,1
4442,4443,0,2,4,5,164,2,1,0,9,5453,0
10447,10448,4,2,6,5,268,4,1,1,7,1600,1
8620,8621,2,1,4,2,246,5,1,0,10,1720,0
3003,3004,1,1,5,4,280,4,1,0,19,3298,1
9905,9906,4,2,5,1,137,5,1,1,4,4586,1
9784,9785,2,2,4,4,267,3,2,1,9,5254,0
10559,10560,4,0,4,5,134,3,2,1,3,5000,1
5183,5184,4,1,2,2,150,3,1,0,6,5854,1
2067,2068,1,0,2,4,225,10,0,1,46,2690,1
9722,9723,0,0,3,4,201,3,2,1,10,4032,1
1599,1600,1,2,3,3,198,3,1,1,49,2446,1
4001,4002,4,2,2,3,205,3,1,1,1,5137,0
1385,1386,4,0,3,5,166,2,1,1,45,1665,1
9705,9706,1,1,4,5,257,5,2,1,6,1008,0
7924,7925,2,1,3,4,142,4,2,1,5,4429,0
1405,1406,4,2,5,1,190,4,2,1,24,3446,1
809,810,4,1,3,3,183,3,1,0,45,2181,1
2029,2030,4,1,3,3,176,2,1,0,58,1730,1
10810,10811,2,1,4,3,256,3,2,1,3,4480,0
10215,10216,1,2,4,5,242,6,1,0,9,1858,0
10893,10894,1,2,4,2,211,3,1,1,4,5989,0
8589,8590,1,2,3,2,195,10,1,0,9,4256,0
1702,1703,2,2,5,2,188,3,2,0,50,3992,1
9643,9644,4,2,5,3,170,3,2,1,6,5226,0
8315,8316,4,2,5,5,258,5,1,0,10,1719,1
10973,10974,4,0,5,2,240,5,1,0,7,1923,0
4907,4908,4,1,3,4,200,2,2,0,6,4751,1
6045,6046,1,2,6,2,286,4,1,0,4,1594,0
9084,9085,3,2,2,5,204,10,1,0,1,4709,0
3914,3915,0,2,3,1,139,5,2,0,5,4572,0
1880,1881,0,2,3,4,267,3,1,0,55,2923,1
9412,9413,2,2,6,3,304,4,1,0,9,1401,0
7316,7317,0,2,5,1,241,3,1,0,7,5134,1
9530,9531,0,2,4,2,144,5,1,0,3,5807,1
6794,6795,0,2,4,3,134,10,2,1,8,4337,0
2287,2288,4,2,3,1,215,6,0,1,5,3432,1
10906,10907,2,2,4,1,261,3,1,0,3,4673,1
10682,10683,0,0,4,2,163,4,2,0,5,5751,0
5948,5949,0,2,4,2,238,2,1,0,2,4002,0
6877,6878,4,2,5,2,244,6,1,1,5,1702,1
10216,10217,2,2,5,1,271,5,1,0,4,1557,1
4978,4979,2,2,4,1,161,6,1,0,2,5734,0
1046,1047,0,2,3,3,231,2,2,0,24,2177,1
6044,6045,0,0,4,3,266,5,0,0,5,1590,0
4381,4382,4,0,3,1,224,2,1,1,9,4007,1
9594,9595,3,0,4,5,251,5,0,1,8,4573,0
1568,1569,0,2,3,2,174,3,1,1,4,1337,1
462,463,3,2,3,4,244,8,1,1,1,2703,1
743,744,4,2,3,3,153,5,1,1,35,1089,1
222,223,3,2,4,2,192,3,0,1,4,2061,1
10290,10291,3,0,4,1,266,2,0,1,4,5116,0
4974,4975,3,2,5,4,131,8,1,1,7,4471,0
2485,2486,4,2,5,3,210,2,2,1,44,3382,1
625,626,4,2,3,2,238,3,0,0,54,3142,1
5882,5883,0,1,3,5,246,3,1,0,2,5556,1
7803,7804,1,1,4,1,260,3,1,1,9,4239,0
2177,2178,4,1,4,4,139,3,0,0,64,1415,1
3708,3709,3,0,4,1,140,4,1,1,6,5067,0
4867,4868,4,2,3,3,166,2,2,0,8,5871,0
5938,5939,2,2,4,1,220,3,2,0,6,4472,0
8997,8998,1,2,4,2,184,3,2,0,5,5931,1
10708,10709,2,2,5,1,262,5,2,0,9,1893,0
8148,8149,3,2,3,2,176,2,2,0,1,5292,0
353,354,4,2,4,3,255,2,0,1,47,2956,1
4084,4085,2,1,3,3,273,10,2,0,10,5574,1
456,457,3,2,3,3,254,2,0,1,17,3153,1
3315,3316,1,2,3,1,171,2,1,1,10,5379,1
6964,6965,2,1,2,4,108,5,0,1,5,4874,1
239,240,4,2,2,3,158,3,1,1,10,1515,1
3148,3149,2,0,3,3,207,3,0,1,1,5632,1
6595,6596,4,2,6,4,260,4,2,0,10,1927,0
5210,5211,0,0,5,4,121,5,0,0,4,4814,0
7894,7895,2,2,5,4,223,3,1,1,8,4310,1
2595,2596,1,1,4,2,168,3,1,1,59,1717,1
5506,5507,2,2,6,5,301,5,2,0,7,1209,1
1018,1019,2,2,3,2,167,2,1,1,2,1010,1
8066,8067,0,1,3,1,256,4,1,1,6,4814,1
9610,9611,2,2,3,3,264,2,1,1,2,4350,0
1760,1761,0,1,4,3,152,2,2,1,18,1537,1
5639,5640,4,2,3,3,183,3,1,0,3,5538,0
9675,9676,1,2,7,2,277,5,1,0,1,1700,1
9346,9347,2,2,3,2,172,3,2,0,8,4982,1
1103,1104,4,0,3,3,104,5,2,0,41,1936,1
9044,9045,0,0,5,1,172,2,2,0,3,4892,0
4049,4050,4,2,3,5,265,3,2,1,4,4268,1
2802,2803,3,2,3,3,99,3,0,1,63,1223,1
3857,3858,4,2,5,1,245,2,2,0,2,4882,1
6992,6993,0,0,3,4,198,3,2,1,7,4020,0
10093,10094,4,2,3,1,173,2,2,0,1,5927,1
10167,10168,1,2,5,1,130,4,0,0,9,4946,1
10369,10370,4,2,3,4,189,6,1,0,9,4668,1
4755,4756,1,2,6,4,291,4,1,0,8,1131,0
4832,4833,0,2,4,5,140,3,2,0,8,4956,0
8879,8880,4,1,5,2,239,5,2,0,6,1310,1
