,GpsProvider,Market/Regular ,vehicle_no,Origin_Location,Destination_Location,Planned_ETA,ontime,OriginLocation_Code,DestinationLocation_Code,trip_start_date,TRANSPORTATION_DISTANCE_IN_KM,vehicleType,customerID,supplierID,Material Shipped,Org_lat,Org_lon,Des_lat,Des_lon
4403,3,0,136,23,383,173,0.0,127,169,157,80.0,34,15,92,764,16.560192249175344,80.79229309159955,23.70477,72.539096
1688,3,0,1467,93,135,290,0.0,111,224,263,43.0,34,15,95,692,28.722966,77.345364,28.476329,77.733763
3580,6,0,1188,82,92,221,0.0,127,200,200,53.9,34,15,28,229,16.560192249175344,80.79229309159955,12.73017358940589,77.95620203691567
5096,3,0,559,82,70,103,0.0,153,159,93,31.0,34,15,28,271,12.992699792116747,77.80384141110859,12.777874729699617,77.64227553734709
4366,3,0,909,37,161,172,0.0,76,335,154,360.15,36,15,26,578,18.970774,72.808712,21.606548,73.009534
5615,10,0,543,111,343,83,0.0,112,279,76,10.2,34,15,27,312,13.007503209603689,77.66509885593489,12.843107191355518,77.5942828776749
3174,3,0,1479,67,285,268,0.0,106,286,244,210.0,34,15,38,77,26.19229040350968,91.75127677536251,23.176713,86.933714
3344,3,0,1372,65,368,235,0.0,119,281,212,65.0,34,15,178,77,17.468016283576617,78.21813291539536,17.556417,78.099421
574,3,0,161,56,174,357,1.0,29,87,324,1000.0,32,7,153,161,28.373519,76.835337,22.961777,72.094219
4128,3,0,456,77,252,118,0.0,149,240,107,64.0,34,15,93,857,28.463698,77.333878,28.512783,77.036893
143,3,0,934,20,59,354,0.0,129,353,328,30.0,34,15,35,676,23.67348,86.129379,23.677124795772432,86.08455003627542
4642,3,0,128,61,376,92,0.0,127,166,84,25.0,34,15,76,835,16.560192249175344,80.79229309159955,18.874262,72.957868
1879,3,0,432,56,280,333,0.0,29,16,302,2400.0,30,5,192,684,28.373519,76.835337,12.930429,79.931163
4592,3,0,562,82,8,165,0.0,127,159,150,49.0,34,15,28,578,16.560192249175344,80.79229309159955,12.777874729699617,77.64227553734709
1522,22,0,1356,54,334,344,1.0,19,397,313,1199.0,29,16,105,77,13.087428,80.184717,18.750621,73.87719
5810,25,0,1499,9,60,41,0.0,140,353,39,30.0,34,15,35,331,23.675623,86.096278,23.677124795772432,86.08455003627542
3707,3,0,6,47,215,213,0.0,155,255,194,117.0,34,15,54,343,16.5094,80.82117,16.823398,80.074446
1974,3,0,1545,67,285,323,1.0,106,286,294,240.0,36,15,26,24,26.19229040350968,91.75127677536251,23.176713,86.933714
4574,3,0,529,82,221,167,0.0,127,209,152,24.5,36,15,26,578,16.560192249175344,80.79229309159955,12.871051,77.710869
1402,22,0,722,125,334,342,0.0,102,387,315,0.0,38,4,123,285,18.750621,73.87719,18.750621,73.87719
3770,3,0,6,47,215,193,0.0,155,255,176,117.0,34,15,54,278,16.5094,80.82117,16.823398,80.074446
3367,3,0,1381,65,368,235,0.0,119,281,212,65.0,34,15,178,684,17.468016283576617,78.21813291539536,17.556417,78.099421
2399,22,0,1278,125,280,322,1.0,102,16,291,1290.0,29,5,164,77,18.750621,73.87719,12.930429,79.931163
5856,10,0,594,111,36,7,1.0,112,237,7,31.0,34,15,27,382,13.007503209603689,77.66509885593489,13.199089183304451,77.70855423495904
1523,11,0,1225,125,138,342,0.0,94,18,311,1300.0,29,2,125,77,18.750621,73.87719,13.087428,80.184717
1673,3,0,890,125,97,334,0.0,97,95,303,900.0,32,6,218,77,18.750621,73.87719,16.184556,80.332451
1975,3,0,1052,118,341,324,1.0,120,228,294,529.0,36,15,41,77,22.231627645808018,84.86986841751269,19.296478,83.122007
3566,3,0,1535,130,164,225,0.0,127,217,203,51.0,36,15,26,77,16.560192249175344,80.79229309159955,22.95210237429815,88.45701479607611
4979,3,0,509,32,252,115,0.0,106,240,104,78.0,34,15,88,361,26.19229040350968,91.75127677536251,28.512783,77.036893
4567,3,0,1462,113,338,159,0.0,127,205,143,131.0,34,15,95,578,16.560192249175344,80.79229309159955,28.367355,76.985908
5196,3,0,129,61,325,111,0.0,136,188,101,35.0,34,15,76,55,19.031831,73.105454,18.998875,72.854548
3520,3,0,1381,65,230,225,0.0,119,233,203,48.0,34,15,218,468,17.468016283576617,78.21813291539536,17.235460173235783,78.4271247252794
1883,3,0,269,54,95,333,0.0,18,75,304,2203.0,30,2,205,84,13.087428,80.184717,28.51276,77.07805
2004,11,0,1221,125,138,327,0.0,94,18,296,1300.0,29,2,125,77,18.750621,73.87719,13.087428,80.184717
505,3,0,1123,64,339,356,0.0,36,13,323,1900.0,32,7,135,111,22.961777,72.094219,12.786517,79.975221
4563,3,0,1419,113,318,171,0.0,111,298,154,160.0,34,15,95,578,28.658633,77.438643,29.660051,77.724463
1213,5,0,373,128,174,348,0.0,12,88,316,1900.0,32,7,116,628,12.786517,79.975221,22.961777,72.094219
3034,3,0,575,75,334,287,0.0,12,397,259,1170.0,29,7,161,928,12.767195,80.064668,18.750621,73.87719
778,3,0,1495,40,164,351,0.0,113,217,322,222.0,34,15,26,98,23.52526791608896,87.26442434857088,22.95210237429815,88.45701479607611
3627,3,0,1256,73,350,216,0.0,127,219,197,90.0,34,15,60,330,16.560192249175344,80.79229309159955,12.995898,80.173557
5172,3,0,811,61,381,149,0.0,127,180,134,35.0,34,15,165,764,16.560192249175344,80.79229309159955,19.106367,72.889947
1846,3,0,1439,113,135,329,0.0,111,224,302,43.0,34,15,95,285,28.658633,77.438643,28.476329,77.733763
1371,3,0,882,68,164,338,0.0,113,217,309,222.0,34,15,37,669,23.52526791608896,87.26442434857088,22.95210237429815,88.45701479607611
4313,3,0,25,2,53,144,0.0,67,311,121,2640.75,19,15,75,855,16.34709,80.843315,26.765221,94.166734
533,5,0,341,128,142,353,0.0,12,53,321,2240.0,29,7,116,77,12.786517,79.975221,28.373519,76.835337
3093,3,0,575,125,199,276,0.0,0,6,249,1325.0,29,7,161,274,18.750621,73.87719,12.767195,80.064668
4785,3,0,140,23,48,161,0.0,133,246,145,210.0,34,15,92,428,22.917969,72.413979,21.7133712,72.9984375
2526,11,0,1221,54,334,316,0.0,19,397,285,1199.0,29,16,125,285,13.087428,80.184717,18.750621,73.87719
720,3,0,608,110,211,354,1.0,24,98,322,535.0,0,0,182,716,13.165101,80.204244,12.746894,77.806168
4988,3,0,317,77,338,118,0.0,149,205,107,56.0,34,15,93,275,28.463698,77.333878,28.367355,76.985908
4941,3,0,536,111,36,158,0.0,112,237,143,31.0,34,15,27,614,13.007503209603689,77.66509885593489,13.199089183304451,77.70855423495904
4729,3,0,239,19,179,159,0.0,105,206,142,390.0,34,15,78,665,26.418031,80.109357,26.744774,83.427
4573,3,0,540,111,1,166,0.0,112,279,151,13.1,34,15,27,578,13.007503209603689,77.66509885593489,12.843107191355518,77.5942828776749
238,3,0,1395,46,277,357,0.0,44,64,327,2600.0,29,25,136,91,12.671093,77.779537,31.045961,76.664373
5265,10,0,543,82,70,138,0.0,127,159,125,31.0,34,15,27,544,16.560192249175344,80.79229309159955,12.777874729699617,77.64227553734709
594,5,0,373,64,339,354,0.0,36,13,322,1900.0,32,7,116,93,22.961777,72.094219,12.786517,79.975221
1466,3,0,705,125,97,340,0.0,97,95,309,900.0,32,6,191,343,18.750621,73.87719,16.184556,80.332451
1949,3,0,98,15,185,330,1.0,123,329,302,100.0,23,15,212,77,21.581377,81.945298,21.272638,81.273907
4243,3,0,1438,113,151,184,0.0,111,216,166,66.0,34,15,95,77,28.658633,77.438643,28.430237,77.859596
5224,3,0,651,135,272,145,0.0,156,213,131,25.0,34,15,99,578,10.082622,76.349257,9.960616772167535,76.28550773846042
1634,3,0,1344,4,166,326,0.0,41,30,298,329.0,9,18,218,282,12.722686,77.676518,11.11456,76.994137
5711,12,0,1540,8,240,63,0.0,106,187,59,30.0,35,15,26,522,26.19229040350968,91.75127677536251,22.593220982761597,88.47223261629908
1291,3,0,672,4,284,341,0.0,41,392,313,879.0,9,18,218,285,12.722686,77.676518,18.5587833,73.7770411
5321,3,0,587,82,8,134,0.0,127,257,120,49.0,34,15,27,407,16.560192249175344,80.79229309159955,13.06890184023571,77.59065573880662
1388,3,0,1298,87,211,348,1.0,27,98,317,400.0,2,0,118,590,11.154594,76.922532,12.746894,77.806168
5114,3,0,560,82,267,102,0.0,153,186,92,44.6,34,15,218,425,12.992699792116747,77.80384141110859,13.196312912801169,77.70815692568873
3554,3,0,1069,24,122,227,0.0,138,215,205,30.0,36,15,81,712,22.178002,84.752448,20.739741724979798,86.11676944223885
558,3,0,165,128,174,356,0.0,12,88,322,1900.0,32,7,153,271,12.786517,79.975221,22.961777,72.094219
3498,3,0,956,20,119,106,0.0,140,167,95,148.0,34,15,38,77,23.67348,86.129379,23.250966,85.241196
1090,3,0,403,125,265,348,0.0,97,42,317,1400.0,32,6,51,364,18.750621,73.87719,28.30904,76.969455
5594,12,0,783,61,376,92,0.0,127,166,83,25.0,34,15,74,578,16.560192249175344,80.79229309159955,18.874262,72.957868
5149,3,0,199,124,123,129,0.0,134,128,115,150.0,34,15,218,149,23.18918,72.552278,24.176119,72.449485
